9 [DBG_PIN] t=1141722 sig=HP_OUT state=ACTIVE reason=assertHpOut camState=0 hpOutAsserted=1
3572 [DBG_HP_SAMPLE] t=1145286 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=6436
3673 [DBG_HP_SAMPLE] t=1145386 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=6336
3772 [DBG_HP_SAMPLE] t=1145486 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=6236
3873 [DBG_HP_SAMPLE] t=1145586 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=6136
3972 [DBG_HP_SAMPLE] t=1145686 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=6036
4009 [DBG_PIN] t=1145723 sig=FP_OUT state=ACTIVE reason=burstFrameFire camState=3 hpOutAsserted=1
4072 [DBG_HP_SAMPLE] t=1145786 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=5936
4109 [DBG_PIN] t=1145823 sig=FP_OUT state=INACTIVE reason=burstPulseComplete durMs=100 camState=3 hpOutAsserted=1
4173 [DBG_HP_SAMPLE] t=1145886 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=5836
4272 [DBG_HP_SAMPLE] t=1145986 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=5736
4373 [DBG_HP_SAMPLE] t=1146086 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=5636
4472 [DBG_HP_SAMPLE] t=1146186 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=5536
4572 [DBG_HP_SAMPLE] t=1146286 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=5436
