13 [DBG_PIN] t=941742 sig=HP_OUT state=ACTIVE reason=assertHpOut camState=0 hpOutAsserted=1
3573 [DBG_HP_SAMPLE] t=945301 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=6441
3672 [DBG_HP_SAMPLE] t=945401 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=6341
3773 [DBG_HP_SAMPLE] t=945501 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=6241
3872 [DBG_HP_SAMPLE] t=945601 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=6141
3972 [DBG_HP_SAMPLE] t=945701 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=6041
4014 [DBG_PIN] t=945743 sig=FP_OUT state=ACTIVE reason=burstFrameFire camState=3 hpOutAsserted=1
4073 [DBG_HP_SAMPLE] t=945801 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=5941
4115 [DBG_PIN] t=945843 sig=FP_OUT state=INACTIVE reason=burstPulseComplete durMs=100 camState=3 hpOutAsserted=1
4172 [DBG_HP_SAMPLE] t=945901 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=5841
4273 [DBG_HP_SAMPLE] t=946001 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=5741
4373 [DBG_HP_SAMPLE] t=946101 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=5641
4472 [DBG_HP_SAMPLE] t=946201 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=5541
4573 [DBG_HP_SAMPLE] t=946301 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=5441
4672 [DBG_HP_SAMPLE] t=946401 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=5341
4773 [DBG_HP_SAMPLE] t=946501 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=5241
4873 [DBG_HP_SAMPLE] t=946601 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=5141
4972 [DBG_HP_SAMPLE] t=946701 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=5041
5073 [DBG_HP_SAMPLE] t=946801 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=4941
5172 [DBG_HP_SAMPLE] t=946901 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=4841
5273 [DBG_HP_SAMPLE] t=947001 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=4741
5373 [DBG_HP_SAMPLE] t=947101 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=4641
5472 [DBG_HP_SAMPLE] t=947201 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=4541
5573 [DBG_HP_SAMPLE] t=947301 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=4441
5672 [DBG_HP_SAMPLE] t=947401 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=4341
5773 [DBG_HP_SAMPLE] t=947501 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=4241
5873 [DBG_HP_SAMPLE] t=947601 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=4141
5972 [DBG_HP_SAMPLE] t=947701 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=4041
6073 [DBG_HP_SAMPLE] t=947801 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=3941
6172 [DBG_HP_SAMPLE] t=947901 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=3841
6273 [DBG_HP_SAMPLE] t=948001 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=3741
6372 [DBG_HP_SAMPLE] t=948101 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=3641
6472 [DBG_HP_SAMPLE] t=948201 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=3541
6573 [DBG_HP_SAMPLE] t=948301 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=3441
6672 [DBG_HP_SAMPLE] t=948401 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=3341
6773 [DBG_HP_SAMPLE] t=948501 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=3241
6872 [DBG_HP_SAMPLE] t=948601 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=3141
6972 [DBG_HP_SAMPLE] t=948701 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=3041
7073 [DBG_HP_SAMPLE] t=948801 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=2941
7172 [DBG_HP_SAMPLE] t=948901 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=2841
7273 [DBG_HP_SAMPLE] t=949001 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=2741
7372 [DBG_HP_SAMPLE] t=949101 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=2641
7472 [DBG_HP_SAMPLE] t=949201 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=2541
7573 [DBG_HP_SAMPLE] t=949301 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=2441
7672 [DBG_HP_SAMPLE] t=949401 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=2341
7773 [DBG_HP_SAMPLE] t=949501 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=2241
7872 [DBG_HP_SAMPLE] t=949601 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=2141
7972 [DBG_HP_SAMPLE] t=949701 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=2041
