9 [DBG_PIN] t=1116853 sig=HP_OUT state=ACTIVE reason=assertHpOut camState=0 hpOutAsserted=1
3572 [DBG_HP_SAMPLE] t=1120416 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=6437
3673 [DBG_HP_SAMPLE] t=1120516 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=6337
3773 [DBG_HP_SAMPLE] t=1120616 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=6237
3873 [DBG_HP_SAMPLE] t=1120716 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=6137
3973 [DBG_HP_SAMPLE] t=1120816 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=6037
4009 [DBG_PIN] t=1120853 sig=FP_OUT state=ACTIVE reason=burstFrameFire camState=3 hpOutAsserted=1
4072 [DBG_HP_SAMPLE] t=1120916 hpOutPin=0 hpOutAsserted=1 camState=3 logicActive=1 activityActive=1 msUntilWakeDeadline=5937
4109 [DBG_PIN] t=1120953 sig=FP_OUT state=INACTIVE reason=burstPulseComplete durMs=100 camState=3 hpOutAsserted=1
4173 [DBG_HP_SAMPLE] t=1121016 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=5837
4273 [DBG_HP_SAMPLE] t=1121116 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=5737
4373 [DBG_HP_SAMPLE] t=1121216 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=5637
4473 [DBG_HP_SAMPLE] t=1121316 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=5537
4572 [DBG_HP_SAMPLE] t=1121416 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=5437
4673 [DBG_HP_SAMPLE] t=1121516 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=5337
4772 [DBG_HP_SAMPLE] t=1121616 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=5237
4873 [DBG_HP_SAMPLE] t=1121716 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=5137
4973 [DBG_HP_SAMPLE] t=1121816 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=5037
5072 [DBG_HP_SAMPLE] t=1121916 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=4937
5173 [DBG_HP_SAMPLE] t=1122016 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=4837
5272 [DBG_HP_SAMPLE] t=1122116 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=4737
5373 [DBG_HP_SAMPLE] t=1122216 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=4637
5473 [DBG_HP_SAMPLE] t=1122316 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=4537
5572 [DBG_HP_SAMPLE] t=1122416 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=4437
5673 [DBG_HP_SAMPLE] t=1122516 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=4337
5772 [DBG_HP_SAMPLE] t=1122616 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=4237
5873 [DBG_HP_SAMPLE] t=1122716 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=4137
5973 [DBG_HP_SAMPLE] t=1122816 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=4037
6072 [DBG_HP_SAMPLE] t=1122916 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=3937
6173 [DBG_HP_SAMPLE] t=1123016 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=3837
6272 [DBG_HP_SAMPLE] t=1123116 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=3737
6373 [DBG_HP_SAMPLE] t=1123216 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=3637
6473 [DBG_HP_SAMPLE] t=1123316 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=3537
6572 [DBG_HP_SAMPLE] t=1123416 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=3437
6673 [DBG_HP_SAMPLE] t=1123516 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=3337
6772 [DBG_HP_SAMPLE] t=1123616 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=3237
6873 [DBG_HP_SAMPLE] t=1123716 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=3137
6972 [DBG_HP_SAMPLE] t=1123816 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=3037
7072 [DBG_HP_SAMPLE] t=1123916 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=2937
7173 [DBG_HP_SAMPLE] t=1124016 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=2837
7272 [DBG_HP_SAMPLE] t=1124116 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=2737
7373 [DBG_HP_SAMPLE] t=1124216 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=2637
7473 [DBG_HP_SAMPLE] t=1124316 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=2537
7572 [DBG_HP_SAMPLE] t=1124416 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=2437
7673 [DBG_HP_SAMPLE] t=1124516 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=2337
7772 [DBG_HP_SAMPLE] t=1124616 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=2237
7873 [DBG_HP_SAMPLE] t=1124716 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=2137
7973 [DBG_HP_SAMPLE] t=1124816 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=2037
8072 [DBG_HP_SAMPLE] t=1124916 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=1937
8173 [DBG_HP_SAMPLE] t=1125016 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=1837
8272 [DBG_HP_SAMPLE] t=1125116 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=1737
8373 [DBG_HP_SAMPLE] t=1125216 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=1637
8472 [DBG_HP_SAMPLE] t=1125316 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=1537
8572 [DBG_HP_SAMPLE] t=1125416 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=1437
8673 [DBG_HP_SAMPLE] t=1125516 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=1337
8772 [DBG_HP_SAMPLE] t=1125616 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=1237
8873 [DBG_HP_SAMPLE] t=1125716 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=1137
8972 [DBG_HP_SAMPLE] t=1125816 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=1037
9072 [DBG_HP_SAMPLE] t=1125916 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=937
9173 [DBG_HP_SAMPLE] t=1126016 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=837
9272 [DBG_HP_SAMPLE] t=1126116 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=737
9373 [DBG_HP_SAMPLE] t=1126216 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=637
9473 [DBG_HP_SAMPLE] t=1126316 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=537
9572 [DBG_HP_SAMPLE] t=1126416 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=437
9673 [DBG_HP_SAMPLE] t=1126516 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=337
9772 [DBG_HP_SAMPLE] t=1126616 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=237
9873 [DBG_HP_SAMPLE] t=1126716 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=137
9972 [DBG_HP_SAMPLE] t=1126816 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=37
10010 [DBG_PIN] t=1126853 sig=FP_OUT state=INACTIVE reason=endActivity durMs=6000 camState=1 hpOutAsserted=1
10012 [DBG_PIN] t=1126853 sig=HP_OUT state=INACTIVE reason=releaseHpOut durMs=10000 camState=1 hpOutAsserted=0
10014 [DBG_IO] t=1126853 stage=configureRuntimeIo.enter deviceType=1 camEnabled=1 camState=0 logicActive=0 activityActive=0 hpOutAsserted=0 hpOutPin=1 fpOutPin=1
10017 [DBG_IO] t=1126854 stage=configureRuntimeIo.outputsInput deviceType=1 camEnabled=1 camState=0 logicActive=0 activityActive=0 hpOutAsserted=0 hpOutPin=1 fpOutPin=1
10020 [DBG_IO] t=1126855 stage=configureRuntimeIo.cameraStateMachine deviceType=1 camEnabled=1 camState=0 logicActive=0 activityActive=0 hpOutAsserted=0 hpOutPin=1 fpOutPin=1
10860 [DBG_HP_SAMPLE] t=1127703 hpOutPin=1 hpOutAsserted=0 camState=0 logicActive=0 activityActive=0 msUntilWakeDeadline=0
10960 [DBG_HP_SAMPLE] t=1127803 hpOutPin=1 hpOutAsserted=0 camState=0 logicActive=0 activityActive=0 msUntilWakeDeadline=0
11062 [DBG_HP_SAMPLE] t=1127903 hpOutPin=1 hpOutAsserted=0 camState=0 logicActive=0 activityActive=0 msUntilWakeDeadline=0
11160 [DBG_HP_SAMPLE] t=1128003 hpOutPin=1 hpOutAsserted=0 camState=0 logicActive=0 activityActive=0 msUntilWakeDeadline=0
